Sequence_ID	biosample_accession
28f66c29721927cf95cf27fa3361afb1	SAMN12684770
2905361d1dbc3c541e60d943842afe9b	SAMN12684770
290d7b9bd2c0ee1a204b787061ae317d	SAMN12684770
2937e49ac4804d2eca507b4039876ff4	SAMN12684770
294928f72cd92cb3f9306cdb018086bd	SAMN12684770
2969c0ab7873581e5f07cd5a3b87487f	SAMN12684819
297d307651b581ab90e18f16c91b416e	SAMN12684770
29cf60d1cfd0baa33875939ceffcd9ff	SAMN12684770
29ddcaedaedfb4eb34cbf353f888fc36	SAMN12684819
29fbd6ab14100e775dea7f4585ed9589	SAMN12684819
2a06f38d6826ac3883bb5c3dc172a25f	SAMN12684819
2a0c9146180fe53508dd8d8b5b0f0556	SAMN12684819
2a12920a6ca48b5c147eb50019acd688	SAMN12684770
2a1a2a2b10e1853e5870280c13d498fc	SAMN12684770
2a1dcf6ea011668338b0d48c176892f1	SAMN12684770
2a3035fcb802ef4b4b28400b34c86641	SAMN12684770
2a3a56c95227caa1c917e766f7c0ecba	SAMN12684770
2a557f8456001c7622ae6e2d020a0db6	SAMN12684819
2a5f5d89e6c8d9d5f3977f75c30b212b	SAMN12684770
2a5faedebcd615893530859f120d58d4	SAMN12684770
2a632d0e5ac075dc52cd48c7a5d6d598	SAMN12684770
2adf91156581108e1c5a5fd6b147fef0	SAMN12684819
2afbf0845addb915664c5fa77a5543ec	SAMN12684770
2afdabec3db6cc779b00f9c301d42c3b	SAMN12684770
2b01d41ac14bf66e390b87adba2d7620	SAMN12684770
2b0de48b96c0027ddfddf0cc93ea25aa	SAMN12684770
2b2160d0dd5627bba2e779ea68695ec9	SAMN12684770
2b4c9537538a4269e51d78001fc9f3d9	SAMN12684770
2b4e87056c72e947ef3d5e83dfa2ffb4	SAMN12684819
2b7715fb2d0d2c746e31e73bd2766eae	SAMN12684770
2b776f6c72f99349fcf7de7700a234f3	SAMN12684819
2b7d5d8734d57b16e48222b681fc1ae7	SAMN12684770
2b9570caf3981f06cb95fdc4c7012e23	SAMN12684770
